,year,genre,rating,Director,Top_5_cast,Images
Shree 420,(1955),"Comedy, Crime, Drama",7.9,Raj Kapoor,"['Nargis', 'Raj Kapoor', 'Nadira', 'Nemo']","https://m.media-amazon.com/images/M/MV5BNzg4Y2NjZjctMzU3My00YTY4LWJmNjUtZmMxNzVlZWRkNTk4XkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_UY209_CR0,0,140,209_AL_.jpg"
Earth,(1998),"Drama, Romance, War",7.6,Deepa Mehta,"['Aamir Khan', 'Nandita Das', 'Rahul Khanna', 'Maia Sethna']","https://m.media-amazon.com/images/M/MV5BNDE4YmFkMzItMWIwMy00MTFmLTkxNjAtMGQxZjg5MjNhMmJkXkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_UY209_CR2,0,140,209_AL_.jpg"
Gunda,(1998),"Action, Comedy, Crime",7.3,Kanti Shah,"['Mithun Chakraborty', 'Mukesh Rishi', 'Mohan Joshi', 'Shakti Kapoor']","https://m.media-amazon.com/images/M/MV5BMzkzODkxNGUtYTA3MS00ZDVkLWFmYTgtMGM5YjViOGU0YjU0XkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_UY209_CR7,0,140,209_AL_.jpg"
Parinda,(1989),"Action, Crime, Drama",7.8,Vidhu Vinod Chopra,"['Jackie Shroff', 'Anil Kapoor', 'Nana Patekar', 'Madhuri Dixit']","https://m.media-amazon.com/images/M/MV5BMjA5ODU4ODU2MV5BMl5BanBnXkFtZTcwMTI3ODgzMQ@@._V1_UY209_CR4,0,140,209_AL_.jpg"
Dasvidaniya,(2008),"Comedy, Drama",7.8,Shashant Shah,"['Vinay Pathak', 'Sarita Joshi', 'Rajat Kapoor', 'Saurabh Shukla']","https://m.media-amazon.com/images/M/MV5BZWU3ZTU2OGUtZGJlYS00Yjc5LTk0ZTctOGZkZGZmODkxYmVmXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR3,0,140,209_AL_.jpg"
Hey Ram,(2000),"Crime, Drama, History",7.9,Kamal Haasan,"['Kamal Haasan', 'Shah Rukh Khan', 'Rani Mukerji', 'Hema Malini']","https://m.media-amazon.com/images/M/MV5BYzMxYzZjMDUtZjI3Ni00Y2M2LTllYWItNzJmZTJjMzkyYjlmXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_UX140_CR0,0,140,209_AL_.jpg"
Pinjar: Beyond Boundaries...,(2003),Drama,7.9,Chandra Prakash Dwivedi,"['Urmila Matondkar', 'Manoj Bajpayee', 'Sanjay Suri', 'Sandali Sinha']","https://m.media-amazon.com/images/M/MV5BNjZhOTVjYTctNGFhOC00NTAxLTg4NmMtZjNiNTVkNWMwODA3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR3,0,140,209_AL_.jpg"
Socha Na Tha,(2005),"Comedy, Drama, Romance",7.4,Imtiaz Ali,"['Abhay Deol', 'Ayesha Takia', 'Ayesha Jhulka', 'Apoorva Jha']","https://m.media-amazon.com/images/M/MV5BNTY2ZTU2ZDQtOGViNC00YjA5LWJjNDAtNWFhOGYyMTQyZjFkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY209_CR9,0,140,209_AL_.jpg"
Guru,(2007),Drama,7.7,Mani Ratnam,"['Mithun Chakraborty', 'Abhishek Bachchan', 'Aishwarya Rai Bachchan', 'Madhavan']","https://m.media-amazon.com/images/M/MV5BODVjYzhlYmQtNmYyYi00YmQyLWFiZDEtODRkZmRkNzg4YzdmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR7,0,140,209_AL_.jpg"
Bawarchi,(1972),"Comedy, Musical, Drama",8.1,Hrishikesh Mukherjee,"['Rajesh Khanna', 'Jaya Bachchan', 'Usha Kiran', 'Harindranath Chattopadhyay']","https://m.media-amazon.com/images/M/MV5BMTg5NDIyNzAwOV5BMl5BanBnXkFtZTgwMjk3ODM3NDE@._V1_UY209_CR8,0,140,209_AL_.jpg"
Manorama: Six Feet Under,(2007),"Crime, Drama, Mystery",7.5,Navdeep Singh,"['Abhay Deol', 'Gul Panag', 'Raima Sen', 'Sarika Thakur']","https://m.media-amazon.com/images/M/MV5BOGNjN2M4MDItMzc3YS00ZjdiLTlhMDMtYjk0OWQzMzc1ZjRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR2,0,140,209_AL_.jpg"
Mr. India,(1987),"Action, Comedy, Drama",7.7,Shekhar Kapur,"['Anil Kapoor', 'Sridevi', 'Amrish Puri', 'Satish Kaushik']","https://m.media-amazon.com/images/M/MV5BZTdhMmJjYjMtMjZmOC00NjhkLWE3MjQtODAzNDI4NmM5OTA5XkEyXkFqcGdeQXVyODAzNzAwOTU@._V1_UX140_CR0,0,140,209_AL_.jpg"
Aamir,(2008),"Action, Crime, Drama",7.6,Raj Kumar Gupta,"['Rajeev Khandelwal', 'Mukesh Agrohari', 'Supavitra Babul', 'Vasan Bala']","https://m.media-amazon.com/images/M/MV5BMTQxYzk3MDYtMzAzNS00ZmFjLWE0YWYtMjFhYjMwYzE5N2ZmXkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_UY209_CR2,0,140,209_AL_.jpg"
Zakhm,(1998),Drama,7.9,Mahesh Bhatt,"['Ajay Devgn', 'Pooja Bhatt', 'Nagarjuna Akkineni', 'Sonali Bendre']","https://m.media-amazon.com/images/M/MV5BZjQ1Y2VjMDAtNjc2MS00ZDhhLTgxNzEtMDE0ZjYzZGVhODAyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR3,0,140,209_AL_.jpg"
Water,(I) (2005),Drama,7.7,Deepa Mehta,"['Lisa Ray', 'John Abraham', 'Seema Biswas', 'Sarala Kariyawasam']","https://m.media-amazon.com/images/M/MV5BZmQ4ODNjNjctYzkxYS00N2MzLWE0ZTctOGVkYzM2NjRmZDMyXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR0,0,140,209_AL_.jpg"
Stanley Ka Dabba,(2011),"Comedy, Drama, Family",7.8,Amole Gupte,"['Partho A. Gupte', 'Numaan Sheikh', 'Abhishek Reddy', 'Sai Shara Shetty']","https://m.media-amazon.com/images/M/MV5BZWVlMzlmOWItYTgwMi00MjExLTgwNDItNWI4YzY2MTgzMWJlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR3,0,140,209_AL_.jpg"
